Banco,Data operação,Tipo de ativo,Nome ativo,C/V,Preço operação,Qnt,Valor total,Preço médio,Lucro,Imposto,Observação,F sup
Inter,01/04/2024,Tesouro,IPCA+ 2045,C,"R$ 1.276,14","0,32","R$ 408,36",,,,,"R$ 0,00"
Inter,01/04/2024,Tesouro,Selic 2029,C,"R$ 14.551,04","0,03","R$ 436,53",,,,,"R$ 0,00"
Inter,01/04/2024,Ação,CMIG4,C,"R$ 12,62",12,"R$ 151,44",,,,,"R$ 0,00"
Inter,01/04/2024,Ação,ITSA4,C,"R$ 10,48",29,"R$ 303,92",,,,,"R$ 0,00"
Inter,01/04/2024,Ação,SLCE3,V,"R$ 19,83",6,"R$ 118,98","R$ 19,22","R$ 3,63","R$ 0,54",,"R$ 115,35"
Inter,01/04/2024,Ação,TRPL4,C,"R$ 25,03",6,"R$ 150,18",,,,,"R$ 0,00"
Inter,01/04/2024,Ação,VALE3,C,"R$ 61,85",5,"R$ 309,25",,,,,"R$ 0,00"
Inter,26/03/2024,FII,CLIN11,C,"R$ 96,19",9,"R$ 865,71",,,,DARF Março,"R$ 0,00"
Inter,26/03/2024,FII,TRXF11,C,"R$ 109,19",1,"R$ 109,19",,,,,"R$ 0,00"
Inter,26/03/2024,FII,TRXF11,V,"R$ 111,30",6,"R$ 667,80","R$ 111,09","R$ 1,26","R$ 0,25",Ações : Isento,"R$ 666,54"
Inter,26/03/2024,Ação,VALE3,C,"R$ 60,07",3,"R$ 180,21",,,,ETF :,"R$ 0,00"
Inter,26/03/2024,Ação,ROMI3,C,"R$ 12,93",11,"R$ 142,23",,,,"R$ 43,14","R$ 0,00"
Inter,26/03/2024,Ação,SLCE3,C,"R$ 19,59",7,"R$ 137,13",,,,FII,"R$ 0,00"
Inter,26/03/2024,Ação,SLCE3,C,"R$ 19,59",9,"R$ 176,31",,,,"R$ 29,57","R$ 0,00"
Inter,26/03/2024,Tesouro,IPCA+ 2045,C,"R$ 1.274,56","0,12","R$ 152,95",,,,Status: Pago,"R$ 0,00"
Inter,25/03/2024,FII,KNSC11,V,"R$ 9,15",99,"R$ 905,85","R$ 9,19","-R$ 3,96","-R$ 0,79",,"R$ 909,81"
Inter,25/03/2024,FII,KNIP11,C,"R$ 97,00",10,"R$ 970,00",,,,,"R$ 0,00"
Nuinvest,22/03/2024,FII,RBRR11,V,"R$ 92,26",45,"R$ 4.151,70","R$ 89,34","R$ 131,18","R$ 26,24",,"R$ 4.020,52"
Inter,13/03/2024,USD,TLT,C,"R$ 468,87",2,"R$ 937,74",,,,,"R$ 0,00"
Inter,13/03/2024,FII,TRXF11,C,"R$ 111,09",7,"R$ 777,63",,,,,"R$ 0,00"
Inter,13/03/2024,FII,HGLG11,V,"R$ 167,58",4,"R$ 670,32","R$ 162,74","R$ 19,38","R$ 3,88",,"R$ 650,94"
Inter,06/03/2024,Ação,ROMI3,C,"R$ 12,96",47,"R$ 609,12",,,,,"R$ 0,00"
Inter,06/03/2024,Ação,CIEL3,V,"R$ 5,36",115,"R$ 616,40","R$ 3,66","R$ 195,51","R$ 29,33",,"R$ 420,89"
Nuinvest,06/03/2024,USD,ALUG11,V,"R$ 34,71",4,"R$ 138,84","R$ 33,98","R$ 2,92","R$ 0,44",,"R$ 135,92"
Nuinvest,06/03/2024,USD,SPXI11,V,"R$ 273,16",2,"R$ 546,32","R$ 225,51","R$ 95,30","R$ 14,30",,"R$ 451,02"
Nuinvest,06/03/2024,USD,BITH11,V,"R$ 77,30",7,"R$ 541,10","R$ 50,25","R$ 189,35","R$ 28,40",,"R$ 351,75"
